time	cell	C	M	X	MI	XI	V1	V3	VM1	VM3	Kc	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7
43.0	1.0	0.41605316771712864	0.04339693703527503	4.7115434259658933E-4	0.9566030629647139	0.9995288456573956	1.3625404584996856	0.04339693703527503	3.0	1.0	0.5	0.025	0.004160531677171286	1.1238609832101683E-4	1.3554557241067915	1.3450315152272243	0.04318093060986037	0.04305803794716027
44.0	1.0	0.4366600500709039	0.05577389699462944	6.219495258613043E-4	0.9442261030053605	0.9993780504741322	1.3985651999501292	0.05577389699462944	3.0	1.0	0.5	0.025	0.004366600500709039	1.4867761645780313E-4	1.3911983292144734	1.376591754505018	0.05549624309245435	0.055314399658010015
45.0	1.0	0.45701732028140496	0.07326905658435887	8.496563145911848E-4	0.9267309434156319	0.9991503436854017	1.4326302479468873	0.07326905658435887	3.0	1.0	0.5	0.025	0.00457017320281405	2.0350815135264106E-4	1.424942243925603	1.4041766909261713	0.0729042254759242	0.07262446448963428
46.0	1.0	0.47710328000150576	0.09815917358188082	0.0012069136041369865	0.9018408264181103	0.9987930863958553	1.4648501026445346	0.09815917358188082	3.0	1.0	0.5	0.025	0.004771032800015057	2.895889357290355E-4	1.4567734365970295	1.4272968196662899	0.09767023231045643	0.09722332878393565
47.0	1.0	0.4968792291472698	0.1331694456718018	0.0017891081342087368	0.8668305543281889	0.9982108918657825	1.4953041891713406	0.1331694456718018	3.0	1.0	0.5	0.025	0.004968792291472698	4.299702040906836E-4	1.4867285308524854	1.4457188239879388	0.1325057295640942	0.13176311960578718
48.0	1.0	0.5162743521465082	0.1810333898981382	0.002783900408404108	0.8189666101018508	0.9972160995915852	1.5240206083802097	0.1810333898981382	3.0	1.0	0.5	0.025	0.005162743521465082	6.700191674449953E-4	1.514772535766006	1.4596846565871502	0.1801302244532211	0.1788242566283602
49.0	1.0	0.535149266006164	0.24391951646661078	0.004621425069049932	0.7560804835333775	0.9953785749309395	1.5509336196630528	0.24391951646661078	3.0	1.0	0.5	0.025	0.00535149266006164	0.0011137330016649505	1.5407445946307543	1.4698697791701436	0.24270038041862288	0.2401632313240202
50.0	1.0	0.5531858104324171	0.32292590787610403	0.008541569794208077	0.6770740921238857	0.9914584302057825	1.5757498960376894	0.32292590787610403	3.0	1.0	0.5	0.025	0.0055318581043241714	0.0020608828424282717	1.5641987323574282	1.4771289799925365	0.32130553968969905	0.31538329469975585
51.0	1.0	0.5694537128884395	0.41752140818197614	0.01928289089583723	0.5824785918180116	0.9807171091041539	1.597414753043666	0.41752140818197614	3.0	1.0	0.5	0.025	0.005694537128884395	0.0046571569470864535	1.583819238455634	1.4822494201364353	0.4154035520327538	0.39704685448187016
52.0	1.0	0.5804987122952486	0.5238728654309136	0.05584838522054565	0.4761271345690733	0.9441516147794442	1.6117521632083893	0.5238728654309136	3.0	1.0	0.5	0.025	0.005804987122952486	0.013497079610870077	1.5950024098957647	1.4858188980939888	0.5211131753177979	0.4589142753593424
53.0	1.0	0.5756878000782679	0.6290826305227968	0.15613599138482753	0.37091736947719034	0.8438640086151622	1.6055433557107752	0.6290826305227968	3.0	1.0	0.5	0.025	0.0057568780007826795	0.03772344564617599	1.5841883521106	1.4881718885852206	0.6253771922892386	0.48448515456717883
54.0	1.0	0.5374194525777557	0.7013301257004894	0.3323794980133894	0.2986698742994972	0.6676205019866008	1.5541046138349974	0.7013301257004894	3.0	1.0	0.5	0.025	0.0053741945257775574	0.08011346170481369	1.5285158948779392	1.4893817356401695	0.6961167094900922	0.4925899468855669
55.0	1.0	0.4527771852409245	0.6847797640018486	0.5353426391076606	0.31522023599813764	0.46465736089232923	1.4256549975840345	0.6847797640018486	3.0	1.0	0.5	0.025	0.004527771852409245	0.1281739796470369	1.4033944587842266	1.4891269642987381	0.6774895581941424	0.495373306085693
56.0	1.0	0.33025552924387885	0.49834990860810763	0.6416132232024933	0.5016500913918789	0.358386776797497	1.1933272984450178	0.49834990860810763	3.0	1.0	0.5	0.025	0.0033025552924387884	0.15124408960512756	1.1815506569450955	1.4850998284260362	0.49149289095600657	0.49613370109009186
