Values[V]	Values[m]	Values[h]	Values[n]	Values[V_neg]	Values[E]	Values[i_Na]	Values[i_K]	Values[i_L]	Values[V_Na]	Values[V_K]	Values[V_L]	Values[alpha_m]	Values[beta_m]	Values[auxiliary alpha_h]	Values[beta_h]	Values[alpha_n]	Values[beta_n]
-0.0036208426702611465	0.0529550879512023	0.5959941984316888	0.3177324024681621	0.0036208426702611465	-75.00362084267026	1.221322970748706	-4.404136756085494	3.1828137471989217	-115.0	12.0	-10.613	0.2236195388736828	3.9991954492190938	0.06998732819775376	0.047442233616097985	0.058209935357874915	0.12499434256135802
-0.0036208005613734347	0.052955087696563055	0.5959941896734859	0.31773240240445	0.0036208005613734347	-75.00362080056138	1.2213229356299247	-4.404136737103223	3.1828137598315878	-115.0	12.0	-10.613	0.22361953822451563	3.9991954585747425	0.0699873283451082	0.04744223342580175	0.058209935215230414	0.12499434262715019
-0.00362075915979883	0.052955087435087186	0.5959941820548144	0.3177324022399576	0.00362075915979883	-75.0036207591598	1.2213229023657546	-4.40413671279274	3.18281377225206	-115.0	12.0	-10.613	0.22361953758625253	3.9991954677732418	0.06998732848998747	0.047442233238701934	0.058209935074981935	0.12499434269183722
-0.00362072399511736	0.052955087205360914	0.5959941754362414	0.31773240200007047	0.00362072399511736	-75.00362072399511	1.2213228732815262	-4.404136686590348	3.1828137828014644	-115.0	12.0	-10.613	0.22361953704414	3.9991954755860437	0.06998732861304158	0.04744223307978758	0.05820993495586105	0.12499434274677955
-0.0036206979333543447	0.0529550870296646	0.5959941696688861	0.31773240172340367	0.0036206979333543447	-75.00362069793336	1.221322849583291	-4.404136661688589	3.182813790619994	-115.0	12.0	-10.613	0.22361953664236162	3.9991954813763817	0.06998732870424124	0.04744223296201066	0.058209934867576404	0.12499434278749921
-0.003620681089455744	0.052955086911573766	0.5959941646211264	0.3177324014403528	0.003620681089455744	-75.00362068108946	1.2213228312474966	-4.40413663981491	3.182813795673163	-115.0	12.0	-10.613	0.22361953638268942	3.9991954851187175	0.0699873287631842	0.047442232885890605	0.05820993481051745	0.1249943428138166
-0.0036206723122422526	0.052955086845786765	0.5959941601793348	0.3177324011741953	0.0036206723122422526	-75.00362067231224	1.2213228176866995	-4.404136621837547	3.1828137983063267	-115.0	12.0	-10.613	0.22361953624737635	3.999195487068817	0.06998732879389889	0.047442232846225084	0.058209934780784504	0.12499434282753039
-0.003620670160698652	0.052955086824273245	0.5959941562508085	0.3177324009387772	0.003620670160698652	-75.0036206701607	1.2213228081706144	-4.40413660799548	3.1828137989517904	-115.0	12.0	-10.613	0.22361953621420738	3.9991954875468414	0.06998732880142793	0.04744223283650195	0.058209934773496105	0.12499434283089202
-0.00362067172894472	0.0529550868289505	0.5959941527578593	0.3177324007424772	0.00362067172894472	-75.00362067172894	1.2213228013197592	-4.404136597687096	3.1828137984813165	-115.0	12.0	-10.613	0.22361953623838415	3.9991954871984126	0.06998732879594007	0.047442232843589095	0.05820993477880858	0.12499434282844174
-0.0036206756385822095	0.052955086851150544	0.5959941496394257	0.3177324005873453	0.0036206756385822095	-75.00362067563859	1.2213227964239057	-4.404136590520318	3.182813797308425	-115.0	12.0	-10.613	0.22361953629865663	3.999195486329779	0.06998732878225881	0.047442232861257316	0.05820993479205252	0.12499434282233321
-0.003620679737068644	0.052955086876655996	0.5959941468489864	0.3177324004698098	0.003620679737068644	-75.00362067973707	1.2213227924268801	-4.404136585507345	3.182813796078879	-115.0	12.0	-10.613	0.2236195363618404	3.9991954854191873	0.0699873287679167	0.04744223287977896	0.05820993480593622	0.12499434281592962
-0.003620683010857533	0.05295508689838726	0.595994144351168	0.31773240038290956	0.003620683010857533	-75.00362068301085	1.2213227887771214	-4.404136581890352	3.182813795096742	-115.0	12.0	-10.613	0.22361953641231042	3.999195484691825	0.06998732875646052	0.047442232894573694	0.05820993481702622	0.12499434281081455
-0.0036206848677973733	0.05295508691197995	0.5959941421162546	0.3177324003195247	0.0036206848677973733	-75.0036206848678	1.221322785118051	-4.404136579057317	3.1828137945396606	-115.0	12.0	-10.613	0.2236195364409378	3.9991954842792548	0.06998732874996241	0.04744223290296549	0.058209934823316635	0.12499434280791322
-0.0036206851629264738	0.05295508691571895	0.5959941401249815	0.31773240026948596	0.0036206851629264738	-75.00362068516293	1.2213227812930634	-4.404136576391222	3.1828137944511217	-115.0	12.0	-10.613	0.22361953644548763	3.9991954842136836	0.06998732874892964	0.04744223290429921	0.05820993482431639	0.1249943428074521
-0.0036206841114004387	0.05295508691071555	0.5959941383535565	0.31773240022807336	0.0036206841114004387	-75.0036206841114	1.2213227773280069	-4.404136573709311	3.1828137947665796	-115.0	12.0	-10.613	0.22361953642927684	3.999195484447309	0.06998732875260931	0.0474422328995472	0.05820993482075433	0.12499434280909504
-0.003620681843008157	0.052955086897478895	0.595994136781608	0.31773240019045196	0.003620681843008157	-75.003620681843	1.2213227732149852	-4.404136570791133	3.1828137954470974	-115.0	12.0	-10.613	0.22361953639430646	3.999195484951295	0.06998732876054725	0.04744223288929602	0.05820993481307012	0.12499434281263924
-0.003620678681859282	0.052955086877977516	0.5959941353889778	0.31773240015413917	0.003620678681859282	-75.00362067868186	1.221322769045451	-4.404136567617957	3.182813796395442	-115.0	12.0	-10.613	0.22361953634557288	3.9991954856536314	0.06998732877160926	0.04744223287501031	0.05820993480236168	0.1249943428175783
-0.003620675871433177	0.05295508685999722	0.5959941341659446	0.31773240011443277	0.003620675871433177	-75.00362067587143	1.2213227653249767	-4.404136564385304	3.1828137972385697	-115.0	12.0	-10.613	0.22361953630224624	3.9991954862780448	0.06998732878144398	0.04744223286230958	0.05820993479284131	0.1249943428219694
-0.003620673186689175	0.05295508684225233	0.5959941330893123	0.31773240007279496	0.003620673186689175	-75.00362067318669	1.2213227619194635	-4.404136561091678	3.1828137980439934	-115.0	12.0	-10.613	0.2236195362608572	3.9991954868745343	0.06998732879083888	0.04744223285017683	0.05820993478374671	0.12499434282616412
-0.0036206708769383816	0.0529550868265794	0.5959941321404685	0.31773240003110553	0.0036206708769383816	-75.00362067087694	1.2213227589151934	-4.404136557932775	3.1828137987369183	-115.0	12.0	-10.613	0.22361953622524913	3.999195487387709	0.06998732879892156	0.04744223283973873	0.05820993477592239	0.12499434282977295
-0.0036206699829895985	0.05295508681993466	0.5959941313082087	0.3177323999908189	0.0036206699829895985	-75.003620669983	1.2213227567594545	-4.40413655537111	3.182813799005103	-115.0	12.0	-10.613	0.22361953621146768	3.9991954875863245	0.0699873288020498	0.04744223283569885	0.05820993477289412	0.12499434283116968
-0.003620669715235556	0.052955086817224044	0.5959941305742995	0.31773239995215036	0.003620669715235556	-75.00362066971523	1.2213227550708092	-4.404136553128907	3.182813799085429	-115.0	12.0	-10.613	0.2236195362073399	3.9991954876458133	0.06998732880298676	0.047442232834488826	0.05820993477198711	0.12499434283158803
-0.003620670067105529	0.052955086818702604	0.5959941299240011	0.31773239991826513	0.003620670067105529	-75.00362067006711	1.22132275383677	-4.404136551379256	3.182813798979868	-115.0	12.0	-10.613	0.22361953621276442	3.999195487567636	0.06998732880175546	0.04744223283607898	0.05820993477317907	0.12499434283103825
-0.003620671099607329	0.052955086825172235	0.5959941293437171	0.3177323998936683	0.003620671099607329	-75.00362067109961	1.2213227530843094	-4.404136550394321	3.1828137986701175	-115.0	12.0	-10.613	0.22361953622868191	3.999195487338237	0.06998732879814235	0.04744223284074501	0.05820993477667669	0.12499434282942504
-0.0036206724036641786	0.05295508683355028	0.5959941288271845	0.31773239987304724	0.0036206724036641786	-75.00362067240367	1.2213227525916488	-4.404136549729453	3.1828137982789	-115.0	12.0	-10.613	0.22361953624878575	3.999195487048505	0.06998732879357897	0.04744223284663822	0.058209934781094194	0.12499434282738754
-0.003620673603560126	0.052955086841644246	0.5959941283636279	0.3177323998592833	0.003620673603560126	-75.00362067360356	1.2213227521889984	-4.40413654940656	3.1828137979189317	-115.0	12.0	-10.613	0.22361953626728384	3.999195486781915	0.0699873287893801	0.047442232852060735	0.058209934785158866	0.12499434282551279
-0.003620674235832552	0.052955086846684915	0.5959941279398692	0.31773239985513124	0.003620674235832552	-75.00362067423583	1.2213227516626732	-4.4041365494083315	3.1828137977292497	-115.0	12.0	-10.613	0.2236195362770312	3.9991954866414385	0.06998732878716754	0.047442232854918075	0.0582099347873007	0.12499434282452491
-0.003620674726231245	0.05295508685061184	0.595994127569023	0.31773239985057766	0.003620674726231245	-75.00362067472624	1.2213227511692244	-4.404136549335788	3.18281379758213	-115.0	12.0	-10.613	0.22361953628459139	3.999195486532483	0.06998732878545146	0.04744223285713425	0.05820993478896193	0.1249943428237587
-0.0036206745898846354	0.052955086850613606	0.5959941272342858	0.3177323998494602	0.0036206745898846354	-75.00362067458988	1.2213227504848445	-4.404136549223805	3.1828137976230346	-115.0	12.0	-10.613	0.22361953628248943	3.999195486562776	0.06998732878592859	0.04744223285651809	0.05820993478850004	0.12499434282397173
-0.0036206737460399694	0.05295508684594494	0.5959941269359151	0.3177323998490855	0.0036206737460399694	-75.00362067374604	1.2213227495593537	-4.404136548893423	3.1828137978761877	-115.0	12.0	-10.613	0.2236195362694803	3.9991954867502595	0.0699873287888815	0.047442232852704616	0.05820993478564151	0.12499434282529018
-0.003620673147043198	0.052955086843079105	0.5959941266658801	0.3177323998522635	0.003620673147043198	-75.00362067314704	1.2213227488140674	-4.404136548849852	3.1828137980558866	-115.0	12.0	-10.613	0.22361953626024605	3.999195486883343	0.06998732879097762	0.047442232849997684	0.05820993478361241	0.12499434282622607
-0.003620672170582308	0.05295508683748681	0.5959941264287836	0.3177323998534158	0.003620672170582308	-75.00362067217058	1.2213227479516433	-4.404136548555476	3.182813798348825	-115.0	12.0	-10.613	0.2236195362451926	3.9991954871002906	0.06998732879439462	0.04744223284558492	0.058209934780304624	0.12499434282775172
