calcium concentration	Values[n]	Values[h]	Values[V]	Values[phik]	Values[phia]	Values[phih]	Values[phif]	Values[phical]	Values[cinf]	Values[ica]	Values[isk]	Values[ibk]	Values[ikdr]	Values[ia]	Values[ik]
0.27576782798186444	0.024696665539636235	0.7561696900510851	-66.40287352223683	0.0021496734340423385	0.009562596731500044	0.7825475879547367	0.0002518997552624486	0.020494202260729264	0.23324148423511726	-4.771168067389618	3.4088511177118623	0.0	0.8492814288930716	0.0	4.258132546604934
0.2753985982445234	0.024176788458812378	0.7574126478745618	-66.35069725958736	0.002160894638170352	0.009612140336311007	0.7807666188461786	0.0002542571213013217	0.020581667496559996	0.23276260303375843	-4.789382727979483	3.4224981744852907	0.0	0.83644945068473	0.0	4.258947625170021
0.2750302368457518	0.023669165216413098	0.7585064097093259	-66.29679696508343	0.0021725479973834835	0.009663587915452876	0.7789158111437429	0.0002567155434631231	0.020672406533297258	0.23228489215419557	-4.808269330765071	3.436758383214827	0.0	0.8239902021817127	0.0	4.26074858539654
0.2746627524409004	0.02317352316259476	0.7594548456779943	-66.24120267551706	0.0021846332999165092	0.009716938073656149	0.7769951407842701	0.0002592761286560646	0.02076640757790568	0.2318083637808826	-4.827824384211454	3.4516162100104966	0.0	0.8118887707015138	0.0	4.2635049807120105
0.27429615362695625	0.022689595938855986	0.7602616335671931	-66.18394178688462	0.0021971510238719214	0.009772192444003307	0.7750044866767597	0.00026194017068967507	0.0208636639266771	0.23133303000383443	-4.848045430236353	3.467057280521292	0.0	0.800131194516083	0.0	4.267188475037375
0.27393044895787355	0.02221712334863505	0.7609302635840236	-66.12503915745262	0.0022101023242690095	0.009829355629445915	0.7729436338401465	0.00026470915064645496	0.02096417384351637	0.2308589028383055	-4.868931016963965	3.4830683288338	0.0	0.7887043990127248	0.0	4.271772727846525
0.2735656469595813	0.021755851230736624	0.7614640429687358	-66.06451720270344	0.0022234890228261116	0.009888435156279352	0.7708122761790869	0.00026758473809000634	0.021067940457651497	0.23038599424404194	-4.890480675345248	3.4996371501196912	0.0	0.777596137651161	0.0	4.277233287770852
0.27320175614458064	0.02130553133538361	0.7618661005542205	-66.00239598185024	0.0022373136005306034	0.009949441439810722	0.7686100188998372	0.000270568793132656	0.021174971681156868	0.2299143161439967	-4.912694899724048	3.5167525571045437	0.0	0.7667949374082526	0.0	4.2835474945127965
0.2728387850262963	0.020865921203043574	0.7621393911849188	-65.93869327691553	0.0022515791927775813	0.010012387761246725	0.7663363806122994	0.0002736633693300886	0.02128528014453234	0.2294438804427175	-4.93557513198031	3.534404339924515	0.0	0.7562900483219581	0.0	4.290694388246473
0.2724767421331812	0.0204367840459495	0.7622867000238457	-65.8734246644396	0.002266289587072456	0.010077290255772768	0.7639907951308238	0.0002768707174189153	0.021398883150225253	0.22897469904440793	-4.959123749221543	3.552583229302301	0.0	0.7460713968477483	0.0	4.298654626150049
0.2721156360226253	0.0200178886323105	0.7623106467396396	-65.80660358016529	0.0022814492232424615	0.010144167911571793	0.7615726129950587	0.0002801932899053175	0.021515802643572002	0.22850678387072665	-4.98334405490643	3.571280862866641	0.0	0.7361295427397334	0.0	4.307410405606374
0.27175547529476884	0.019609009173271675	0.7622136895347474	-65.73824137726818	0.0022970631960608275	0.010213042579348058	0.7590811027395707	0.0002836337465065946	0.021636065200300016	0.22804014687845217	-5.0082402732132705	3.5904897543569088	0.0	0.726455639175105	0.0	4.316945393532014
0.27139626860618754	0.019209925212509745	0.7619981290618932	-65.66834737795504	0.002313137260365863	0.010283938992707384	0.7565154519134898	0.00028719496048942536	0.021759702031089203	0.22757480007697367	-5.03381754674564	3.6102032657444014	0.0	0.7170413959144163	0.0	4.327244661658818
0.27103802468359384	0.018820421518583746	0.7616661121658288	-65.59692891921199	0.0023296778385494188	0.010356884798827388	0.7538747678856894	0.00029088002590632177	0.02188674900207009	0.2271107555457906	-5.06008193732986	3.630415581934516	0.0	0.7078790452385407	0.0	4.338294627173057
0.2706807523375087	0.018440287979914403	0.7612196354996925	-65.52399139239934	0.002346692030545685	0.010431910599981102	0.7511580784313981	0.0002946922657914564	0.02201724667209185	0.22664802545196397	-5.087040430062144	3.651121688133457	0.0	0.6989613104972155	0.0	4.350082998630673
0.2703244604760283	0.01806931950248527	0.7606605489719666	-65.44953827729276	0.0023641876262547414	0.010509050005609047	0.7483643321289439	0.000298635241337401	0.02215124034605885	0.22618662206767776	-5.114700940443666	3.6723173496178685	0.0	0.6902813770554119	0.0	4.36259872667328
0.26996915811868105	0.017707315910196447	0.7599905590487646	-65.37357117046982	0.0023821731205061225	0.010588339695386414	0.7454923985697159	0.0003027127621160215	0.02228878014492623	0.2257265577879051	-5.143072324707202	3.693999093916171	0.0	0.6818328654860544	0.0	4.375831959402225
0.26961485441044364	0.017354081847894165	0.7592112319007629	-65.29608980827071	0.0024006577306025694	0.010669819493443243	0.7425410683966527	0.00030692889739677027	0.022429921092419272	0.22526784514826612	-5.1721643933279955	3.716164195285365	0.0	0.673609806847538	0.0	4.389774002132903
0.2692615586359739	0.01700942668708715	0.7583239963886865	-65.21709208449198	0.0024196514165106178	0.010753532454009975	0.7395090531844182	0.00031128798862608507	0.022574723218720314	0.2248104968431527	-5.201987927746435	3.7388106613954872	0.0	0.6656066199014329	0.0	4.4044172812969205
0.2689092802340718	0.01667316443430544	0.757330146903153	-65.13657406273148	0.002439164903833962	0.010839524959064144	0.73639498516566	0.0003157946631526448	0.02272325168186699	0.22435452574413248	-5.2325547004307325	3.761937222226031	0.0	0.6578180901506849	0.0	4.419755312376716
0.2685580288124746	0.01634511364217418	0.7562308460379553	-65.05452998366202	0.002459209709632338	0.0109278468282286	0.7331974168220291	0.0003204538492722579	0.022875576907016824	0.22389994491876997	-5.263877498283867	3.7855433210438973	0.0	0.6502393505675206	0.0	4.435782671611418
0.26820781416297196	0.016025097323127232	0.7550271271204814	-64.97095226704025	0.002479798171275105	0.011018551441726141	0.7299148203413215	0.0003252707927014867	0.02303177474466388	0.2234467676498439	-5.295970149587948	3.8096291075109474	0.0	0.6428658639158743	0.0	4.452494971426821
0.2678586462769585	0.015712942865849514	0.7537198965810364	-64.88583150863825	0.00250094347844189	0.011111695876853874	0.7265455869575989	0.0003302510745785748	0.02319192664827045	0.222995007455112	-5.328847554547792	3.834195432826904	0.0	0.6356934065613704	0.0	4.4698888393882745
0.26751053536142366	0.015408481954395419	0.7523099361765703	-64.79915647196252	0.0025226597084768163	0.011207341058851817	0.723088026179697	0.0003354006311198782	0.02335611987245297	0.22254467810762318	-5.362525719631283	3.859243846934665	0.0	0.6287180536855073	0.0	4.4879619006201725
0.26716349185547256	0.015111550490042876	0.7507979050641335	-64.71091407476133	0.002544961865287625	0.011305551926969463	0.7195403649199701	0.0003407257750653793	0.023524447692700342	0.22209579365669552	-5.397021795867133	3.884776597765289	0.0	0.6219361658225345	0.0	4.5067127635878235
0.2668175264474272	0.014821988515891699	0.7491843417277065	-64.62108937024972	0.002567865922017883	0.01140639761669201	0.7159007465337056	0.00034623321906531227	0.02369700964783279	0.22164836844962238	-5.432354121303824	3.910796632526607	0.0	0.6153443766464997	0.0	4.526141009173107
